Job Title,Salary Estimate,Job Description,Rating,Pros,Cons,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Junior Data Engineer,Employer Provided Salary:$120K - $135K,"This role is for a firm that is a well funded spin-off of a very successful hedge fund. The platform is used to assist industry clients and growing rapidly. This is a remote friendly hybrid position so one is expected to visit the team in the CT office a few days a week. US authorization is required for this role.
Job Purpose:
The Junior Data Engineer will develop applications for a newly created, rapidly growing platform for industry clients.
Work on a proven system which analyzes, maps and reconciles data from a multitude of internal and external sources. It enables users to consume data in any format, from any provider, resulting in significant efficiencies and reduced operational risk. In addition to organizing and validating data, and providing business intelligence to identify opportunities for additional cost savings and revenue generation.",4.1,"Pros
""Flexibility with work days and timing"" (in 1 reviews)","Cons
No Cons have been reported by the Glassdoor community.","IMR
4.1","Stamford, CT",51 to 200 Employees,Company - Private,Taxi & Car Services,Transportation & Logistics,$10 to $25 million (USD),-1
"Analyst I, Data Science-Global Strategic Analytics",Employer Provided Salary:$102K - $143K,"This is a range posting. The actual internal level/grade and compensation for this role will depend on the candidate's geographic location, overall experience, and skill level.
Job Summary:
Join a high-energy data science and business experts in Liberty Mutual Global Risk Solutions (GRS) Advanced Analytics Hub as we drive business value and innovation through analytics. Using enterprise-caliber data science tools, you will work on projects/initiatives for the design, development, and delivery of advanced analytics solutions and predictive models that enable the business to make data-based decisions. As part of the Global Strategic Analytics team you will research, prototype, architect, and deploy complex analytics to create high-impact business value. In additional to collaboration with other team members, you will have high-profile engagement across the enterprise including Underwriting, Pricing, Tech and other functions.
The Analyst I, Data Science gains experience in collaborating with business partners to develop predictive analytic solutions that enable data driven strategic decision making. This role utilizes data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to predict the likelihood of a future outcome and/or to optimize business solutions.







16",3.9,"Pros
""Flexibility and good work life balance"" (in 42 reviews)
""Great people"" (in 28 reviews)
""Good people, decent culture, extremely chill environment if you'd like it to be"" (in 24 reviews)
""good benefits"" (in 19 reviews)
""Good Salary"" (in 20 reviews)","Cons
""Not much if you like great work life balance"" (in 42 reviews)
""Slow Political cronyism cafeteria bad culture"" (in 24 reviews)
""salary is bit low compared to others"" (in 20 reviews)",,Remote,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
Machine Learning Engineer/ Scientist,Employer Provided Salary:$100K - $160K,"Who you are
You are a Machine Learning scientist/engineer who has demonstrable mastery in both mathematical foundations and algorithm development in machine learning and numerical methods. You enjoy solving hard problems, writing high-quality code and are excited to be part of a startup building a platform using pharmacological datasets, genomics, chemistry, physics, and machine learning to revolutionize the creation of new medicines. You care deeply about helping people through the development of novel therapeutics.
You are passionate about working closely with experimentalists to iteratively build models through a continuous conceptualize/build/test/re-conceptualize cycle. You excel at developing concepts by understanding research literature, exploring new libraries and tools, and discussing with research scientists in ML. You are capable and motivated to quickly get up to speed with relevant concepts in physics, chemistry and biology, so that you can effectively discuss your modeling efforts with research scientists in these fields. You can work independently to turn concepts into ML-models and test these models on synthetic data that you generate as well as data obtained from experiments at Creyon and externally. You feel ownership of the models that you develop and are comfortable using these models to recommend follow-on experiments. You are comfortable working in multiple software languages and can learn new ones as needed, and have experience in at least one compiled language (Rust, C++, Java, etc.).",-1,-1,-1,"Creyon Bio, Inc.",Remote,Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1
Healthcare Data Scientist,Employer Provided Salary:$30 - $70 Per Hour,"ACM Analytics is seeking a Data Scientist to support our data analytics work. ACM Analytics is a certified woman- and minority-owned small business providing a wide array of data analytic services to commercial clients and government agencies. Our cross-industry experience allows us to provide innovative methodologies and result-based solutions that are both efficient and adaptable. You will be part of a small collaborative team passionate about their work.
Qualifications
· MS in Data Science, Computer Science, Engineering, Health Services, Statistics, or Mathematics.
· 3 + years of programming experience with Python, R. Experience with AWS platform and Microsoft SQL is a plus.
· 5+ years’ experience extracting meaning from and interpreting data using tools and methods from statistics and machine learning.",-1,-1,-1,"ACM Analytics, LLC",Remote,-1,-1,-1,-1,-1,-1
Data Analyst,$60K - $93K (Glassdoor est.),"Job Description:
We are looking for a Data Analyst to join the Dow Jones Membership group's Data Science & Analytics team.The Membership group makes it easier for people to read, share, and subscribe to Dow Jones' award-winning journalism. We're focused on reaching new audiences and making our products relevant and accessible to all decision-makers—from students to young professionals, parents to retirees.
Working with the Barron's Group product organization, you will oversee future experimentation around subscription offerings. You will also provide MarketWatch and Barron's editorial teams with helpful insights and recommendations on how to improve the publishing strategy for a membership model.
What you'll do:",3.9,"Pros
""good work life balance and simple work"" (in 10 reviews)
""Good benefits"" (in 7 reviews)
""Nice colleagues."" (in 7 reviews)","Cons
""Benefits are average even though HR keeps advertising about it."" (in 7 reviews)
""Low salaries, bureaucracy leading to rampant inefficiencies"" (in 8 reviews)
""Bit backwards in terms of latest technology"" (in 5 reviews)","Dow Jones
3.9","New York, NY",5001 to 10000 Employees,1882,Subsidiary or Business Segment,Broadcast Media,Media & Communication,$500 million to $1 billion (USD)
Data Scientist,-1,"MILLENNIUM TRUST COMPANY is a rapidly-growing, leading financial services company offering specialized retirement and institutional services. Whether clients are managing corporate retirement assets, running a business or wanting choice beyond traditional asset options, we provide flexible and digital solutions to support our clients’ success. Ultimately, we aim to educate and increase access to investments to help our clients on their journey to retirement readiness, but do not provide investment advice.
Millennium Trust has experienced year-to-year double digit growth and prides itself on its strong, progressive culture. We have been recognized for our tremendous growth on lists, such as Crain’s Fast 50 and Inc. 5000, and have also been recognized for our positive workplace culture on the 2019 Best Places to Work in Illinois list, as well as the 2019 Model Workplace Award and 2018 Champion for Young Professionals Award from the Greater Oak Brook Chamber of Commerce. Millennium Trust employees live out the values of Do Right, Excel, Collaborate, Innovate and Celebrate and deliver the brand promise of going “Above and Beyond,” so each client experiences the highest level of service.
We are always looking to expand our growing team with dynamic and enthusiastic individuals. If you enjoy a collaborative, fun environment that encourages career development, Millennium Trust is the place for you!

You will be part of a team building best in class statistical models to deliver new business insights, developing, testing and validating unsupervised modeling techniques and creating and developing long term tools to continually evolve business capabilities.",3.7,"Pros
No Pros have been reported by the Glassdoor community.","Cons
""Benefits were extremely high but they are looking to change in upcoming enrollment"" (in 1 reviews)","Millennium Trust Company
3.7",Remote,201 to 500 Employees,2000,Company - Private,Investment & Asset Management,Financial Services,$100 to $500 million (USD)
"Assistant Director, Data Science-Global Strategic Analytics",Employer Provided Salary:$131K - $185K,"Note: This is a range posting. The actual internal level/grade and compensation for this role will depend on the candidate's geographic location, overall experience, and skill level.
Job Summary:
Join a high-energy data science and business experts in Liberty Mutual Global Risk Solutions (GRS) Advanced Analytics Hub as we drive business value and innovation through analytics. Using enterprise-caliber data science tools, you will work on projects/initiatives for the design, development, and delivery of advanced analytics solutions and predictive models that enable the business to make data-based decisions. As part of the Global Strategic Analytics team you will research, prototype, architect, and deploy complex analytics to create high-impact business value. In additional to collaboration with other team members, you will have high-profile engagement across the enterprise including Underwriting, Pricing, Tech and other functions.
The Assistant Director, Data Science collaborates with business partners to develop predictive analytic solutions that enable data-driven strategic decision-making. This role utilizes data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to predict the likelihood of a future outcome and/or to optimize business solutions.







18",3.9,"Pros
""Flexibility and good work life balance"" (in 42 reviews)
""Great people"" (in 28 reviews)
""Good people, decent culture, extremely chill environment if you'd like it to be"" (in 24 reviews)
""good benefits"" (in 19 reviews)
""Good Salary"" (in 20 reviews)","Cons
""Not much if you like great work life balance"" (in 42 reviews)
""Slow Political cronyism cafeteria bad culture"" (in 24 reviews)
""salary is bit low compared to others"" (in 20 reviews)",,Remote,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
Data Scientist - Role can be remote,$92K - $132K (Glassdoor est.),"The Petcare Segment consists of five Divisions: Pet Nutrition, Royal Canin, Mars Veterinary Health N. America, Mars Veterinary Health International & Diagnostics, Kinship. Under this new organization of Petcare Product and Service brands, we launched our Strategy in 2018 with an objective to “Create a Better World for Pets by extending global leadership in Nutrition, Health and Services powered by Data”.
With the breadth and scale of our Petcare businesses we have unique and unrivalled data assets. The potential to create benefits for Pets and sustainable competitive advantage is huge and we need to seize this opportunity now.
Our data assets consist of Veterinary data including appointment and invoice details as well as the medical histories and diagnostic details this provides. We have breed and disease marker data from our DNA diagnostics business (Wisdom Health), Location and Activity Tracking data from our Whistle business. From our nutrition businesses we have sales data, some consumer data as well as valuable information about retailers, Veterinarians, Breeders and Shelters. We also have third party data providing us with product purchasing insights and the potential to develop deeper and broader views into Petcare shopping through collaboration and D2C engagement.",4.2,"Pros
""Great people to work with, fairly good benefits"" (in 17 reviews)
""great people to work with"" (in 19 reviews)
""Great culture and place to work"" (in 17 reviews)
""the work life balance is great"" (in 14 reviews)
""Direct manager is excellent."" (in 10 reviews)","Cons
""Obviously no benefits because of the nature of the contract position."" (in 17 reviews)
""Work life balance can be challenging, expectations sometimes unrealistic."" (in 14 reviews)
""the manager doesn't want to spend time on training, expect you have hands"" (in 10 reviews)",,"Newark, NJ",10000+ Employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
Statistical Programmer,-1,"Career Opportunity – Statistical Programmer with Firma Clinical Research - Remote
Is working with statistical software packages a passion? Can you create SAS programs or macros? Do you enjoy working for a clinical research organization? Is high visibility and less red tape appealing? If so, we want to speak with you about our position!
Firma Clinical Research is a clinical research organization offering global in-home clinical trial studies. We make clinical trial participation possible for patients who otherwise may not have the option. We are looking to add a Statistical Programmer to our team!
Fully Remote Position
The Statistical Programmer is responsible to lead the data management activities to support clinical projects. The primary responsibilities will include:",-1,-1,-1,Firma Clinical Research,Remote,Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1
Data Scientist - Mid Level,Employer Provided Salary:$202K,"We look forward to you bringing your talent to add to our team supporting a robust, world-wide national intelligence program providing mission application design, development, engineering and integration services in support of the U.S. Intelligence Community. Peraton, a recognized leader in Cyber, Digital Transformation, Cloud, Operations and Engineering, is seeking skilled Data Scientists to join our team of professionals delivering technology services and capabilities in defense of the nation. You would be joining a team of professionals with over 10 years of outstanding support developing and sustaining mission critical and mission essential applications to prevent strategic surprise and deliver a decision advantage to warfighters, defense planners, and policy makers. We take pride that our users include warfighters and interagency partners that defend America’s national security interests. We are committed to investing in you and your family through paid benefits, competitive total compensation, challenging opportunities and career growth opportunities. If you are ready to be challenged, advance your career, passionate about making a difference, and are excited to support our country’s defense and intelligence missions, we are ready to talk to you!",3.6,"Pros
""Primarily work from home."" (in 33 reviews)
""Benefits are good and affordable"" (in 21 reviews)
""The pay was decent."" (in 27 reviews)
""It had flexible hours and good management"" (in 19 reviews)
""Training was fun and easy ."" (in 15 reviews)","Cons
""great benefits and opportunities for advancement"" (in 21 reviews)
""Low Pay."" (in 27 reviews)
""management promises big but has never (at least in my 4 years) upheld their end"" (in 19 reviews)
""Mandatory training but that is typical with these types of company's"" (in 15 reviews)","Peraton
3.6","Herndon, VA",10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD)
"Data Scientist, NAMR People Team",$100K - $153K (Glassdoor est.),"WHAT YOU'LL DO
We are looking for a passionate and talented Data Scientist to join our rapidly growing People Analytics team. As a key part of the team’s Data Science cadre, you will work with our Lead Data Scientist, Data Engineers, Business Analysts, and our People team to develop the next generation of People analytics solutions and automate existing reporting, applying a wide variety of techniques, including but not limited to data mining, forecasting, optimization, NLP, and machine learning. You will be a key player in the team’s evolution, responsible for the development of ethical, deployable, scalable, and maintainable data science solutions. These solutions will have high exposure to leadership and massive impact by improving BCGers' lives, further solidifying BCG as the employer of choice, and growing BCG as a business.
Examples of common activities include:",4.4,"Pros
""Name good on CV and good work/life balance."" (in 110 reviews)
""Great people"" (in 89 reviews)
""Great sallary and benefit compared to other"" (in 39 reviews)
""great work enviroment and culture"" (in 70 reviews)
""Good salary &amp; much travel opportunity."" (in 49 reviews)","Cons
""No work life balance when on a project"" (in 110 reviews)
""The people were very stiff and rigid"" (in 89 reviews)
""sometimes extends to 15 hours a day, the benefits and the salary does not compensate for this."" (in 39 reviews)
""Aggresive culture."" (in 70 reviews)
""Low salary."" (in 49 reviews)",,"New York, NY",10000+ Employees,1963,Company - Private,Business Consulting,Management & Consulting,$5 to $10 billion (USD)
Senior Data Engineer - Remote,Employer Provided Salary:$135K - $200K,"The Opportunity
The Senior Data Engineer will be the ‘go to person’ on our rapidly expanding engineering team solving all our data challenges for billions of data points related to the world’s business contacts and company profiles. The primary role of the data engineer is to improve the accuracy of our data recommendations that predicts every professional’s emails, phone numbers and websites with the highest level and degree of accuracy possible. This person will have an opportunity to solve significant data problems that are positively impacting millions of business professionals and helping the world connect to opportunity and each other faster than ever before.
Apply today if you have:
5+ years of hands-on professional (not academic) experience in pioneering data engineering and/or big data",3.8,"Pros
""Great culture"" (in 3 reviews)
""Great coworkers."" (in 4 reviews)
""Good benefits"" (in 2 reviews)
""If you want to hop on board a great opportunity building a revolutionary product this is the place to be."" (in 2 reviews)
""Encouraging leadership"" (in 2 reviews)","Cons
No Cons have been reported by the Glassdoor community.","Seamless.AI
3.8",Remote,51 to 200 Employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Machine Learning Engineer (Remote),Employer Provided Salary:$130K,"ERP has an immediate opening for a highly skilled Machine Learning Engineer to support one of our technical projects with a US Government Agency. The ideal candidate will have exceptional skills in statistics and programming. If you also have knowledge of data science and software engineering, we’d like to meet you.
This job is remote.
Culture of ERP:   Fast-paced, fun, collaborative, energetic, and positive.
Be the Best! Join our exceptional team in a dynamic work environment only to discover the immense job satisfaction and pride of being an ERP Employee! ERP International is honored to have been named one of The Washington Post’s 2021 Top Workplaces!
Excellent Compensation & Exceptional Comprehensive Benefits!",3.8,"Pros
""They were flexible and had great benefits"" (in 1 reviews)","Cons
No Cons have been reported by the Glassdoor community.","ERP International, LLC
3.8",Remote,201 to 500 Employees,2006,Company - Private,$25 to $50 million (USD),-1,-1
Data Engineer,-1,"Overview:
Why GM Financial?

If you have a vision of data and analytics as a service to support strategic initiatives using the latest tools, languages, and platforms in the cloud – we have the role, career, and challenge that you are looking for. Are you a builder, engineer, do you have a passion for data ops, MLOps and DevOps, are you a governance/metadata champion – look no further than GM Financial. In 2021, the Global Data and Analytics team received executive sponsorship and funding to build an enterprise cloud data and analytics platform. Our Mission is to partner with the business and technical teams to enable all users with data and analytics solutions. If you envision a world where innovative digital and cloud data platforms are built to transform customer contact, interaction and value through increased experimentation and insight generation, then GM Financial is the place for you.

At GM Financial, we’re looking for an experienced and highly motivated Data Engineer. The Data Engineer will help lead data transformation at GM Financial to support data science, analytics, and business teams globally. This role will be responsible for system API integration, data operations, engineering, pipeline development, and orchestration from ingestion through consumption zones. In this Agile environment, the Data Engineer will partner with stakeholders to influence strategic decisions, and execution of data products. This role will ensure that all data products are available in the cloud to both business, and technical requirements.

Responsibilities:

Qualifications:",3.8,"Pros
""Excellent work/life balance"" (in 9 reviews)
""Great culture, WLB and good co"" (in 8 reviews)
""Good bonus"" (in 9 reviews)
""The benefits are great!"" (in 7 reviews)
""most management is flexible and accommodating for personal and family matters."" (in 8 reviews)","Cons
""I think it’s because it’s the deep rooted culture that’s been ingrained in a lot of the long term employees."" (in 8 reviews)
""401k and bonuses are ok but could be improved."" (in 9 reviews)
""benefits are not good only HRA plans"" (in 7 reviews)
""you can see it in the non technical management and staff who still haven’t invested time in improving their technical skills, even though the VP’s and up have been giving the team a few years to get up to speed."" (in 8 reviews)","GM Financial
3.8",Remote,5001 to 10000 Employees,1992,Company - Public,Banking & Lending,Financial Services,$5 to $10 billion (USD)
Data Scientist,$70K - $106K (Glassdoor est.),"Aptive’s Software Engineers are relied on to build the future of our direct-to-home service delivery platform. As a part of our Engineering department, this role requires the ability to move quickly, think deeply and work well with others on your Agile Scrum team: engineers, UX, product owners, and stakeholders. As a Senior Software Engineer, you will engineer, code, and test resilient, highly-scalable software systems for both our web applications as well as backend APIs for our mobile apps servicing our hundreds of thousands of customers. We are significantly building out the engineering teams at Aptive and are seeking talented coders who love growth to be a part of this expansion.
Job type: Full-time
Location: Hybrid/Remote
What we offer:",4.0,"Pros
""The pay is great!"" (in 3 reviews)
""The benefits are great!"" (in 2 reviews)
""learning opportunities and growth that are on par with career opps"" (in 2 reviews)
""Before the virus outbreak, there were great monthly activities that were geared towards family and friends of employees, which is an incredibly generous gesture and shows that Aptive really cares about employee's lives and families."" (in 2 reviews)
""Work life balance for me has been great."" (in 1 reviews)","Cons
""not as competitive pay as others"" (in 3 reviews)",,"Provo, UT",1001 to 5000 Employees,2015,Company - Private,Building & Personnel Services,Management & Consulting,Unknown / Non-Applicable
Data Scientist,$77K - $116K (Glassdoor est.),"Come join a growing financial technology company that’s leading the marketplace in both the marketing and servicing of credit cards! Continental Finance Company specializes in credit card options for those consumers with less than perfect credit. We are seeking a Data Scientist to support our Data Science team.

The Data Scientist is responsible for developing quantitative/analytic models and applications in support of the firm's risk underwriting and marketing effort. This role focuses on the development of models, strategies, and operational guidelines for the organization's various credit card products as they relate to the analysis, tracking, and reporting of various risk metrics. This role requires advanced degree in statistics/probability, physics, applied mathematics or another heavy quantitative discipline. Our Quantitative Analytic staff is focused on and responsible for the development of the theory and mathematics behind various models. This position reports to Chief Data Scientist.",4.6,"Pros
""Flexible hybrid schedule, pizza Tuesdays, reliable HR Team, good growth opportunities, supportive senior leadership team."" (in 1 reviews)
""Many company perks and great holiday time off."" (in 1 reviews)","Cons
No Cons have been reported by the Glassdoor community.","Continental Finance Company
4.6","Wilmington, DE",51 to 200 Employees,2005,Company - Private,Banking & Lending,Financial Services,$5 to $10 million (USD)
Data Scientist,Employer Provided Salary:$60K - $200K,"The Data scientist will use data tools to drive deep understanding of company's lead data with the goal of improving our ability to convert more leads into opportunities. They will help solve challenging problems using data science techniques.
Job Category: Entry to senior level positions available.
Work location: Hybrid schedule.
Salary Range: $60,000 - $200,000 commensurate with experience and education.
Roles & Responsibilities
Analyze data to extract valuable insights with goal to improve marketing techniques, and increase sales
Help the team develop analytics on the entire business cycle from Lead generation to Installation",3.6,"Pros
""Leadership is quite dumb so it's easy to manipulate your way into positions"" (in 1 reviews)","Cons
No Cons have been reported by the Glassdoor community.",,"Wall, NJ",1001 to 5000 Employees,1994,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$100 to $500 million (USD)
Python Data Scientist w/ Cloud & Machine Learning,-1,"Location: REMOTE
Description: Our client is currently seeking a Python Data Scientist w/ Cloud & Machine Learning


Must be able to code during interview
Data Scientist
Python
Simpson’s Paradox
List reversal
Inverse of the identity Matrix
Must convert pseudocode to python




vkumar02@judge.com",3.8,"Pros
""Good people and friendly contact"" (in 2 reviews)
""Good benefits and a decent package"" (in 2 reviews)","Cons
No Cons have been reported by the Glassdoor community.","The Judge Group
3.8",Remote,1001 to 5000 Employees,1970,Company - Private,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD)
Senior Data Scientist/Modeling Researcher,Employer Provided Salary:$120K,"Senior Data Scientist/Modeling Researcher
New Light Technologies Inc. (NLT), a leading provider of integrated science, technology, and mission services based in Washington DC, is currently seeking a Senior Data Scientist/ Modelling Researcher to support research, design, and development of statistical data science methods and predictive models that improve the quality and efficiency of national socio-economic surveys.
Working alongside stakeholders in federal agencies, leading academic institutions, and the private sector industry, the candidate will act as a Senior Data Scientist/Modelling Researcher to integrate disparate big data including various administrative, survey, and other available datasets to develop methods to improve prediction of survey response propensities. The candidate will help design, document, develop, improve, and support work through the project lifecycle from requirements gathering to deployment and work collaboratively with a team to determine the design and engineering options that best meet the business requirements and communications goals.",5.0,"Pros
""Very horizontal; the president of the company works alongside the workers, most of whom have a high level of technical expertise, and since the different areas of technology have a lot of interdependency, there's a great deal of information"" (in 1 reviews)","Cons
""The free flow of information can make it difficult to bubble it all up into coherent stores of information, and giving autonomy to strong project leads inevitably leads to different ways to organize this information."" (in 1 reviews)","New Light Technologies, Inc.
5.0",Remote,1 to 50 Employees,Company - Private,Accounting & Tax,Financial Services,$1 to $5 million (USD),-1
"Data Scientist, Marketing & Online (Remote)",Employer Provided Salary:$90K - $160K,"Position Purpose:
The Data Scientist is responsible for supporting data science initiatives that drive business profitability, increased efficiencies and improved customer experience. This role applies industry-leading analytical methodologies for working with large datasets to extract meaningful business insight and creatively solve business problems. Data Scientists are also responsible for ensuring that developed codes are documented into a library of reusable algorithms. Based on the specific data science team, this role would need to be knowledgeable in one or more data science specializations, such as optimization, computer vision, recommendation, search or NLP.


As a Data Scientist, you will apply advanced analytics methods and algorithms for identifying trends and providing business solutions. This role is expected to present insights and recommendations to non-technical audiences and explain the benefits and impacts of the recommended solutions. In addition, Data Scientists collaborate with business partners and cross-functional teams, requiring effective communication skills, building relationships, and focus on understanding the overall business area being supported.




This position typically reports to Manager or above
This position has 0 Direct Reports

For Colorado, Connecticut, Nevada and New York City residents: The pay range for this position is between $90,000 and $160,000. Starting salary may vary based on a number of factors including, but not limited to, the position being offered, location, education, training, and/or experience. The Home Depot offers additional competitive financial and non-financial benefits, which may include a performance-based bonus program or a profit sharing program depending on position.



1. Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.

Typically requires overnight travel less than 10% of the time.
























-",3.8,"Pros
""Great culture and hours"" (in 46 reviews)
""Work life balance is good"" (in 29 reviews)
""People are great"" (in 36 reviews)
""benefits are good for full time employees"" (in 18 reviews)
""Good pay!"" (in 36 reviews)","Cons
""Honestly none, it really is a fantastic company with the best culture of any company I have personally worked for."" (in 46 reviews)
""Work/life balance is not great"" (in 29 reviews)
""This place is full of extremely dull and intellectually incurious people."" (in 36 reviews)
""Benefits Expensive"" (in 18 reviews)
""Average Pay"" (in 36 reviews)","The Home Depot
3.8","Atlanta, GA",10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD)
"Healthcare Data Scientist, Natural Language Processing",Employer Provided Salary:$78K - $99K,"Verinovum, a leader in the Healthcare Data Enrichment and Integration Technology industry, is currently seeking a Data Scientist for its Tulsa, OK headquarters. The Data Scientist will collect and analyze Verinovum data using various mathematical calculations while creating value for the data. Other responsibilities include:
Mine and extract data from various sources to maintain data quality programs and leverage these sources to identify and interpret trends or patterns in complex datasets.
Perform exploratory data analysis (EDA), data profiling, and data cleaning on a variety of datasets.
Learn and identify data relationships across multiple contributing sources, developing, and discovering direct and inferred data relationships where rules can be defined and consistently applied, and other strategies to optimize the efficiency and quality of the data being collected, normalized, and delivered.",3.6,"Pros
""Good people to work with"" (in 6 reviews)
""The benefits package is amazing with great coverage and affordable."" (in 1 reviews)","Cons
""Senior leadership is continually altering the 'vision' preventing teams from being successful."" (in 1 reviews)
""If you're looking for big parties, weekly happy hours, and lots of outings"" (in 1 reviews)","Verinovum, Inc.
3.6",Remote,51 to 200 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"AI/ML - Annotation Analyst, Arabic Language",-1,"Summary
Posted: Jun 21, 2022
Role Number:200394318
Imagine what you could do here. At Apple, new ideas have a way of becoming extraordinary products, services, and customer experiences very quickly. The people here at Apple don’t just craft products - they build the kind of wonder thatʼs revolutionized entire industries. It’s the diversity of those people and their ideas that inspires the innovation that runs through everything we do, from amazing technology to industry-leading environmental efforts. Join Apple, and help us leave the world better than we found it. Are you interested in being part of a team that continues to innovate the way people and machines interact? The launch of Siri was a defining moment in the history of Artificial Intelligence. Siri offers a faster, easier way to get things done on your Apple devices, even before you ask. Millions of people now use Siri to send messages, play their favorite song or even take a selfie. The AI/ML team is passionate about technology with a focus on enriching the customer experience. We are looking for a motivated Annotation Analyst that demonstrates active listening, integrity, acute attention to detail, and is passionate about impacting our customer's experience. Bring passion and dedication to your job and there's no telling what you could accomplish. This position will be based at our corporate campus in Austin, TX.",4.2,"Pros
""work life balance is good"" (in 377 reviews)
""Good benefits and TC as APPL is increasing and lots of new interesting projects"" (in 267 reviews)
""it was manageable and the pay was good"" (in 434 reviews)
""Great people to work for and with"" (in 390 reviews)
""Great WLB and culture to work with"" (in 322 reviews)","Cons
""no work life balance is maintaned"" (in 377 reviews)
""Not much responsibility and no benefit"" (in 267 reviews)
""The pay is low especially when living in San Diego where rent and housing cost is super inflated."" (in 434 reviews)
""People are basically slaves of the products."" (in 390 reviews)
""bad atmosphere and culture of toxicity"" (in 322 reviews)","Apple
4.2","Austin, TX",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Principal Data Scientist,Employer Provided Salary:$125K - $160K,"As Principal Data Scientist you will have a leadership role within our data science team.
With the expertise to deliver the ecosystem analytics roadmap across all divisions, you will work closely with the division stakeholders and head of data science in managing and delivering projects.
Apart from mentoring and coaching teams, you will strategize the potential to create unique benefits for customers and provide a sustainable competitive advantage.
Working with global/regional teams to identify and implement efficient delivery of the brand vision you will articulate the strategic opportunities of a customer-centric analytics-driven strategy.
A fast learner, you will identify the business needs/challenges and identify actionable solutions that lead to valuable outcomes for the business.

Find out more about what Mars can offer you by visiting our Global Careers site.
Data Analysis, Python, Project Management, Stakeholder ManagementData Analysis, Python, Project Management, Stakeholder Management",4.2,"Pros
""Great people to work with, fairly good benefits"" (in 17 reviews)
""great people to work with"" (in 19 reviews)
""Great culture and place to work"" (in 17 reviews)
""the work life balance is great"" (in 14 reviews)
""Direct manager is excellent."" (in 10 reviews)","Cons
""Obviously no benefits because of the nature of the contract position."" (in 17 reviews)
""Work life balance can be challenging, expectations sometimes unrealistic."" (in 14 reviews)
""the manager doesn't want to spend time on training, expect you have hands"" (in 10 reviews)",,"Tennessee City, TN",10000+ Employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist (Local or Remote),$76K - $115K (Glassdoor est.),"(Local or Remote)

ROLE OVERVIEW
We're seeking a talented Data Scientist to join our growing team. You'll play a critical role on our Data Science team and be instrumental in driving long-term growth for the company. The ideal candidate has strong analytical and problem-solving abilities and is excited by the opportunity to navigate large amounts of data to identify patterns, distill insights, and build predictive machine learning models. This is a highly visible role with significant autonomy and the opportunity to work across several teams.
RESPONSIBILITIES",4.8,"Pros
""Well, the people are great and are also very fun to work/ not work with!"" (in 11 reviews)
""Great work/life balance."" (in 6 reviews)
""Great benefits and tons of room to grow."" (in 6 reviews)
""Transparency, Great Leadership, Great Values, Schedule Flexibility, Unlimited PTO, and it feels like our voices are heard and valued."" (in 5 reviews)
""lots of autonomy"" (in 12 reviews)","Cons
No Cons have been reported by the Glassdoor community.","Point Digital Finance, Inc.
4.8","Palo Alto, CA",201 to 500 Employees,2015,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable
